countryCode,countryName,continent
AFG,Afghanistan,Asia
ALB,Albania,Europe
DZA,Algeria,Africa
AND,Andorra,Europe
AGO,Angola,Africa
ATG,Antigua and Barbuda,North America
ARG,Argentina,South America
ARM,Armenia,Asia
ABW,Aruba,North America
AUS,Australia,Oceania
AUT,Austria,Europe
AZE,Azerbaijan,Asia
BHS,Bahamas,North America
BHR,Bahrain,Asia
BGD,Bangladesh,Asia
BRB,Barbados,North America
BLR,Belarus,Europe
BEL,Belgium,Europe
BLZ,Belize,North America
BEN,Benin,Africa
BMU,Bermuda,North America
BTN,Bhutan,Asia
BOL,Bolivia,South America
BIH,Bosnia and Herzegovina,Europe
BWA,Botswana,Africa
BRA,Brazil,South America
VGB,British Virgin Islands,North America
BRN,Brunei Darussalam,Asia
BGR,Bulgaria,Europe
BFA,Burkina Faso,Africa
BDI,Burundi,Africa
KHM,Cambodia,Asia
CMR,Cameroon,Africa
CAN,Canada,North America
CYM,Cayman Islands,North America
CAF,Central African Republic,Africa
TCD,Chad,Africa
CHL,Chile,South America
CHN,China,Asia
COL,Colombia,South America
COM,Comoros,Africa
CRI,Costa Rica,North America
CIV,Cote d'Ivoire,Africa
HRV,Croatia,Europe
CUB,Cuba,North America
CUW,Curacao,North America
CYP,Cyprus,Europe
CZE,Czech Republic,Europe
DNK,Denmark,Europe
DJI,Djibouti,Africa
DMA,Dominica,North America
DOM,Dominican Republic,North America
ECU,Ecuador,South America
EGY,Egypt,Africa
SLV,El Salvador,North America
GNQ,Equatorial Guinea,Africa
ERI,Eritrea,Africa
EST,Estonia,Europe
ETH,Ethiopia,Africa
FRO,Faroe Islands,Europe
FJI,Fiji,Oceania
FIN,Finland,Europe
FRA,France,Europe
PYF,French Polynesia,Oceania
GAB,Gabon,Africa
GMB,Gambia,Africa
GEO,Georgia,Asia
DEU,Germany,Europe
GHA,Ghana,Africa
GIB,Gibraltar,Europe
GRC,Greece,Europe
GRL,Greenland,North America
GRD,Grenada,North America
GUM,Guam,Oceania
GTM,Guatemala,North America
GIN,Guinea,Africa
GNB,Guinea-Bissau,Africa
GUY,Guyana,South America
HTI,Haiti,North America
HND,Honduras,North America
HKG,Hong Kong,Asia
HUN,Hungary,Europe
ISL,Iceland,Europe
IND,India,Asia
IDN,Indonesia,Asia
IRN,Iran,Asia
IRQ,Iraq,Asia
IRL,Ireland,Europe
IMN,Isle of Man,Europe
ISR,Israel,Asia
ITA,Italy,Europe
JAM,Jamaica,North America
JPN,Japan,Asia
JOR,Jordan,Asia
KAZ,Kazakhstan,Asia
KEN,Kenya,Africa
XKX,Kosovo,Europe
KWT,Kuwait,Asia
KGZ,Kyrgyzstan,Asia
LAO,Laos,Asia
LVA,Latvia,Europe
LBN,Lebanon,Asia
LSO,Lesotho,Africa
LBR,Liberia,Africa
LBY,Libya,Africa
LIE,Liechtenstein,Europe
LTU,Lithuania,Europe
LUX,Luxembourg,Europe
MDG,Madagascar,Africa
MWI,Malawi,Africa
MYS,Malaysia,Asia
MDV,Maldives,Asia
MLI,Mali,Africa
MLT,Malta,Europe
MRT,Mauritania,Africa
MUS,Mauritius,Africa
MEX,Mexico,North America
MDA,Moldova,Europe
MCO,Monaco,Europe
MNG,Mongolia,Asia
MNE,Montenegro,Europe
MAR,Morocco,Africa
MOZ,Mozambique,Africa
MMR,Myanmar,Asia
NAM,Namibia,Africa
NPL,Nepal,Asia
NLD,Netherlands,Europe
NCL,New Caledonia,Oceania
NZL,New Zealand,Oceania
NIC,Nicaragua,North America
NER,Niger,Africa
NGA,Nigeria,Africa
MNP,Northern Mariana Islands,Oceania
NOR,Norway,Europe
OMN,Oman,Asia
PAK,Pakistan,Asia
PAN,Panama,North America
PNG,Papua New Guinea,Oceania
PRY,Paraguay,South America
PER,Peru,South America
PHL,Philippines,Asia
POL,Poland,Europe
PRT,Portugal,Europe
PRI,Puerto Rico,North America
QAT,Qatar,Asia
ROU,Romania,Europe
RUS,Russian Federation,Europe
RWA,Rwanda,Africa
SMR,San Marino,Europe
STP,Sao Tome and Principe,Africa
SAU,Saudi Arabia,Asia
SEN,Senegal,Africa
SRB,Serbia,Europe
SYC,Seychelles,Africa
SLE,Sierra Leone,Africa
SGP,Singapore,Asia
SXM,Sint Maarten (Dutch part),North America
SVK,Slovak Republic,Europe
SVN,Slovenia,Europe
SOM,Somalia,Africa
ZAF,South Africa,Africa
SSD,South Sudan,Africa
ESP,Spain,Europe
LKA,Sri Lanka,Asia
SDN,Sudan,Africa
SUR,Suriname,South America
SWE,Sweden,Europe
CHE,Switzerland,Europe
SYR,Syrian Arab Republic,Asia
TJK,Tajikistan,Asia
TZA,Tanzania,Africa
THA,Thailand,Asia
TLS,Timor-Leste,Asia
TGO,Togo,Africa
TTO,Trinidad and Tobago,North America
TUN,Tunisia,Africa
TUR,Turkey,Asia
TCA,Turks and Caicos Islands,North America
UGA,Uganda,Africa
UKR,Ukraine,Europe
ARE,United Arab Emirates,Asia
GBR,United Kingdom,Europe
USA,United States,North America
URY,Uruguay,South America
UZB,Uzbekistan,Asia
VEN,Venezuela,South America
VNM,Vietnam,Asia
YEM,Yemen,Asia
ZMB,Zambia,Africa
ZWE,Zimbabwe,Africa
