countryCode,closed_schools,closed_workplaces,cancelled_events,closed_public_transport
ABW,16-03-2020,21-03-2020,29-03-2020,
AFG,14-03-2020,24-03-2020,01-03-2020,28-03-2020
AGO,24-03-2020,27-03-2020,27-03-2020,27-03-2020
ALB,09-03-2020,11-03-2020,09-03-2020,13-03-2020
AND,16-03-2020,14-03-2020,,
ARE,01-03-2020,25-03-2020,16-03-2020,04-04-2020
ARG,16-03-2020,19-03-2020,11-03-2020,23-03-2020
AUS,24-03-2020,23-03-2020,18-03-2020,
AUT,16-03-2020,16-03-2020,11-03-2020,
AZE,03-03-2020,23-03-2020,14-03-2020,
BDI,,,,
BEL,14-03-2020,14-03-2020,14-03-2020,
BEN,30-03-2020,30-03-2020,17-03-2020,30-03-2020
BFA,16-03-2020,21-03-2020,12-03-2020,23-03-2020
BGD,16-03-2020,19-03-2020,21-03-2020,19-03-2020
BGR,05-03-2020,,13-03-2020,
BHR,24-02-2020,18-03-2020,18-03-2020,
BIH,11-03-2020,17-03-2020,10-03-2020,17-03-2020
BLR,04-04-2020,,,
BLZ,20-03-2020,01-04-2020,16-03-2020,
BMU,20-03-2020,26-03-2020,04-04-2020,19-03-2020
BOL,12-03-2020,22-03-2020,12-03-2020,16-03-2020
BRA,12-03-2020,17-03-2020,12-03-2020,21-03-2020
BRB,19-03-2020,28-03-2020,17-03-2020,
BRN,11-03-2020,,13-03-2020,
BTN,06-03-2020,27-03-2020,,
BWA,19-03-2020,02-04-2020,16-03-2020,
CAF,26-03-2020,26-03-2020,26-03-2020,
CAN,16-03-2020,18-03-2020,12-03-2020,
CHE,13-03-2020,17-03-2020,25-02-2020,
CHL,15-03-2020,16-03-2020,16-03-2020,
CHN,26-01-2020,26-01-2020,22-01-2020,23-01-2020
CIV,16-03-2020,19-03-2020,19-03-2020,
CMR,18-03-2020,18-03-2020,18-03-2020,
COL,16-03-2020,25-03-2020,12-03-2020,
CRI,12-03-2020,10-03-2020,10-03-2020,21-03-2020
CUB,24-03-2020,17-04-2020,20-03-2020,24-03-2020
CYP,13-03-2020,16-03-2020,10-03-2020,24-03-2020
CZE,11-03-2020,13-03-2020,11-03-2020,
DEU,26-02-2020,08-05-2020,10-03-2020,
DJI,19-03-2020,22-03-2020,23-03-2020,25-04-2020
DMA,23-03-2020,01-04-2020,01-04-2020,
DNK,13-03-2020,18-03-2020,,
DOM,19-03-2020,19-03-2020,19-03-2020,19-03-2020
DZA,12-03-2020,23-03-2020,10-03-2020,23-03-2020
ECU,13-03-2020,17-03-2020,13-03-2020,15-03-2020
EGY,15-03-2020,16-03-2020,21-03-2020,25-03-2020
ERI,27-03-2020,31-03-2020,23-03-2020,27-03-2020
ESP,09-03-2020,14-03-2020,10-03-2020,
EST,16-03-2020,27-03-2020,12-03-2020,
ETH,16-03-2020,25-03-2020,16-03-2020,30-03-2020
FIN,16-03-2020,16-03-2020,12-03-2020,
FJI,19-03-2020,19-03-2020,16-03-2020,19-03-2020
FRA,02-03-2020,17-03-2020,13-03-2020,
GAB,16-03-2020,20-03-2020,13-03-2020,
GBR,23-03-2020,21-03-2020,21-03-2020,
GEO,02-03-2020,14-03-2020,01-03-2020,23-03-2020
GHA,16-03-2020,30-03-2020,16-03-2020,30-03-2020
GIN,27-03-2020,27-03-2020,27-03-2020,
GMB,18-03-2020,27-03-2020,28-03-2020,
GRC,05-03-2020,12-03-2020,29-02-2020,
GRL,19-03-2020,18-03-2020,18-03-2020,18-04-2020
GTM,16-03-2020,17-03-2020,17-03-2020,17-03-2020
GUM,16-03-2020,16-03-2020,20-03-2020,11-04-2020
GUY,16-03-2020,28-03-2020,03-04-2020,
HKG,25-01-2020,29-01-2020,26-01-2020,
HND,13-03-2020,16-03-2020,13-03-2020,16-03-2020
HRV,13-03-2020,14-03-2020,10-03-2020,21-03-2020
HTI,19-03-2020,19-03-2020,19-03-2020,06-04-2020
HUN,11-03-2020,16-03-2020,11-03-2020,
IDN,03-02-2020,10-04-2020,03-03-2020,
IND,04-03-2020,21-03-2020,14-03-2020,20-03-2020
IRL,13-03-2020,27-03-2020,12-03-2020,27-03-2020
IRN,05-03-2020,22-03-2020,22-02-2020,27-03-2020
IRQ,25-02-2020,17-03-2020,25-02-2020,13-03-2020
ISL,16-03-2020,16-03-2020,16-03-2020,
ISR,13-03-2020,15-03-2020,04-03-2020,
ITA,23-02-2020,22-02-2020,23-02-2020,12-04-2020
JAM,13-03-2020,25-03-2020,11-03-2020,
JOR,15-03-2020,18-03-2020,18-03-2020,18-03-2020
JPN,02-03-2020,,,
KAZ,16-03-2020,30-03-2020,12-03-2020,19-03-2020
KEN,15-03-2020,24-03-2020,13-03-2020,06-04-2020
KGZ,16-03-2020,17-03-2020,12-03-2020,25-03-2020
KHM,07-03-2020,18-03-2020,18-03-2020,
KWT,01-03-2020,11-03-2020,10-03-2020,12-03-2020
LAO,17-03-2020,30-03-2020,30-03-2020,30-03-2020
LBN,29-02-2020,06-03-2020,18-03-2020,
LBR,17-03-2020,22-03-2020,22-03-2020,
LBY,16-03-2020,16-04-2020,22-03-2020,22-03-2020
LKA,13-03-2020,16-03-2020,14-03-2020,23-03-2020
LSO,18-03-2020,18-03-2020,18-03-2020,
LTU,12-03-2020,16-03-2020,12-03-2020,
LUX,16-03-2020,16-03-2020,13-03-2020,
MAR,16-03-2020,20-03-2020,14-03-2020,20-03-2020
MDA,11-03-2020,11-03-2020,10-03-2020,23-03-2020
MDG,21-03-2020,21-03-2020,21-03-2020,21-03-2020
MEX,23-03-2020,26-03-2020,24-03-2020,
MLI,19-03-2020,25-03-2020,25-03-2020,
MMR,16-03-2020,26-03-2020,13-03-2020,07-04-2020
MNG,27-01-2020,27-01-2020,27-01-2020,21-02-2020
MOZ,23-03-2020,,23-03-2020,
MRT,16-03-2020,,19-03-2020,
MUS,19-03-2020,20-03-2020,20-03-2020,
MWI,23-03-2020,,20-03-2020,
MYS,18-03-2020,18-03-2020,18-03-2020,
NAM,17-03-2020,05-05-2020,17-03-2020,
NER,20-03-2020,,13-03-2020,
NGA,20-03-2020,29-03-2020,20-03-2020,29-03-2020
NIC,,,,
NLD,16-03-2020,15-03-2020,10-03-2020,
NOR,12-03-2020,30-04-2020,12-03-2020,
NPL,19-03-2020,20-03-2020,18-03-2020,24-03-2020
NZL,24-03-2020,23-03-2020,16-03-2020,26-03-2020
OMN,15-03-2020,31-03-2020,17-03-2020,19-03-2020
PAK,27-02-2020,23-03-2020,13-03-2020,23-03-2020
PAN,12-03-2020,20-03-2020,13-03-2020,03-04-2020
PER,12-03-2020,16-03-2020,12-03-2020,01-05-2020
PHL,10-03-2020,15-03-2020,15-03-2020,15-03-2020
PNG,23-03-2020,24-03-2020,24-03-2020,24-03-2020
POL,12-03-2020,14-03-2020,10-03-2020,
PRI,14-03-2020,15-03-2020,13-03-2020,15-03-2020
PRT,09-03-2020,12-03-2020,19-03-2020,
PRY,10-03-2020,13-03-2020,10-03-2020,21-03-2020
QAT,10-03-2020,17-03-2020,22-03-2020,15-03-2020
XKX,12-03-2020,15-03-2020,11-03-2020,13-03-2020
ROU,11-03-2020,12-03-2020,08-03-2020,31-03-2020
RUS,21-03-2020,17-03-2020,10-03-2020,
RWA,16-03-2020,21-03-2020,08-03-2020,21-03-2020
SAU,09-03-2020,16-03-2020,13-03-2020,21-03-2020
SDN,14-03-2020,04-05-2020,14-03-2020,26-03-2020
SEN,16-03-2020,,14-03-2020,
SGP,08-04-2020,07-04-2020,13-03-2020,
SLE,31-03-2020,01-04-2020,22-03-2020,
SLV,11-03-2020,16-03-2020,21-03-2020,07-05-2020
SMR,29-02-2020,20-03-2020,08-03-2020,15-03-2020
SOM,21-03-2020,,19-03-2020,
SRB,16-03-2020,21-03-2020,15-03-2020,21-03-2020
SSD,20-03-2020,28-03-2020,16-03-2020,
SUR,16-03-2020,04-06-2020,13-03-2020,06-04-2020
SVK,10-03-2020,13-03-2020,10-03-2020,
SVN,16-03-2020,20-03-2020,19-03-2020,16-03-2020
SWE,,,,
SYC,16-03-2020,08-04-2020,22-03-2020,09-04-2020
SYR,14-03-2020,22-03-2020,22-03-2020,23-03-2020
TCD,13-04-2020,13-04-2020,13-04-2020,13-04-2020
THA,19-03-2020,17-03-2020,10-03-2020,08-04-2020
TJK,27-04-2020,25-04-2020,18-04-2020,
TLS,23-03-2020,28-03-2020,28-03-2020,28-03-2020
TTO,14-03-2020,17-03-2020,21-03-2020,
TUN,09-03-2020,22-03-2020,13-03-2020,
TUR,16-03-2020,16-03-2020,16-03-2020,28-03-2020
TZA,17-03-2020,,17-03-2020,
UGA,20-03-2020,25-03-2020,18-03-2020,25-03-2020
UKR,12-03-2020,17-03-2020,12-03-2020,18-03-2020
URY,14-03-2020,,13-03-2020,
USA,05-03-2020,19-03-2020,12-03-2020,
UZB,16-03-2020,16-03-2020,16-03-2020,16-03-2020
VEN,16-03-2020,16-03-2020,12-03-2020,
VNM,29-01-2020,25-03-2020,08-02-2020,28-03-2020
YEM,15-03-2020,30-04-2020,17-03-2020,
ZAF,18-03-2020,26-03-2020,16-03-2020,
ZMB,20-03-2020,02-05-2020,15-04-2020,
ZWE,24-03-2020,30-03-2020,17-03-2020,
ARM,,,,
ATG,,,,
BHS,,,,
COM,,,,
CUW,,,,
CYM,,,,
FRO,,,,
GIB,,,,
GNB,,,,
GNQ,,,,
IMN,,,,
LIE,,,,
LVA,,,,
MCO,,,,
MDV,,,,
MLT,,,,
MNE,,,,
MNP,,,,
NCL,,,,
PYF,,,,
STP,,,,
SXM,,,,
TCA,,,,
TGO,,,,
GRD,,,,
VGB,,,,
